sexo,ano_nascimento,raca,estado_origem,cidade_origem,renda,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,grau_academico,area_conhecimento,descricao
F,1983,Branco,Rio Grande do Norte,NATAL,1500,False,True,False,BACHARELADO,Engenharias,INDEFERIDO
F,1983,Branco,Rio Grande do Norte,NATAL,1500,True,False,False,BACHARELADO,Engenharias,INDEFERIDO
M,1982,Negro,Bahia,SALVADOR,6000,False,False,False,BACHARELADO,Ciências Biológicas,APROVADO
M,1982,Negro,Bahia,SALVADOR,6000,False,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
F,1990,Branco,Rio Grande do Norte,NATAL,1785,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1991,Negro,Rio Grande do Norte,PARNAMIRIM,0,True,False,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1991,Negro,Rio Grande do Norte,PARNAMIRIM,0,True,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1993,Branco,Rio Grande do Norte,NATAL,550,True,False,False,BACHARELADO,Ciências Exatas e da Terra,FALHOU
F,1993,Branco,Rio Grande do Norte,NATAL,550,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1993,Branco,Rio Grande do Norte,NATAL,550,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1993,Branco,Rio Grande do Norte,NATAL,2198,True,False,False,LICENCIATURA,Ciências Biológicas,FALHOU
F,1983,Branco,Rio Grande do Norte,ALEXANDRIA,3603,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1983,Branco,Rio Grande do Norte,ALEXANDRIA,3603,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
M,1989,Negro,,BISSAU,622,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1993,Pardo,Rio Grande do Norte,NATAL,5365,False,True,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1993,Pardo,Rio Grande do Norte,NATAL,5365,False,True,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1993,Branco,Rio Grande do Norte,NATAL,2059,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1993,Branco,Rio Grande do Norte,NATAL,2059,True,False,False,BACHARELADO,Ciências Exatas e da Terra,FALHOU
M,1993,Branco,Rio Grande do Norte,NATAL,2059,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1974,Branco,Rio Grande do Norte,NATAL,4793,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1992,Branco,Rio Grande do Norte,NATAL,10000,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1992,Branco,Rio Grande do Norte,NATAL,10000,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1981,Negro,Rio Grande do Norte,MACAÍBA,1924,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1981,Negro,Rio Grande do Norte,MACAÍBA,1924,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1989,Branco,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1989,Branco,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
M,1982,Negro,Rio Grande do Norte,NATAL,4570,False,False,False,LICENCIATURA,Ciências Sociais Aplicadas,APROVADO
F,1990,Pardo,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1990,Pardo,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
